player_id,web_name,start_rate,minutes,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90
228,King,0.0,0,0.0,0.0,0.0
227,Travers,0.0,0,0.0,0.0,0.0
353,Pecsi,0.0,0,0.0,0.0,0.0
349,Mateo Joseph,0.0,0,0.0,0.0,0.0
289,Crooks,0.0,0,0.0,0.0,0.0
288,Dowell,0.0,0,0.0,0.0,0.0
287,Millar,0.0,0,0.0,0.0,0.0
286,Belloumi,0.0,0,0.0,0.0,0.0
285,McNair,0.0,0,0.0,0.0,0.0
284,McCarthy,0.0,0,0.0,0.0,0.0
283,Jacob,0.0,0,0.0,0.0,0.0
282,Giles,0.0,0,0.0,0.0,0.0
407,Echeverri,0.0,0,0.0,0.0,0.0
396,Vitor Reis,0.0,0,0.0,0.0,0.0
386,Bettinelli,0.0,0,0.0,0.0,0.0
207,Mingueza,0.0,0,0.0,0.0,0.0
584,Hamer,0.0,0,0.0,0.0,0.0
588,Khalaili,0.0,0,0.0,0.0,0.0
577,Tomiyasu,0.0,0,0.0,0.0,0.0
555,Matthews,0.0,0,0.0,0.0,0.0
219,J.Rak-Sakyi,0.0,0,0.0,0.0,0.0
195,Simms,0.0,0,0.0,0.0,0.0
194,Thomas-Asante,0.0,0,0.0,0.0,0.0
193,Wright,0.0,0,0.0,0.0,0.0
192,Andrews,0.0,0,0.0,0.0,0.0
191,Borges Rodrigues,0.0,0,0.0,0.0,0.0
190,Tchaouna,0.0,0,0.0,0.0,0.0
189,Shepherd,0.0,0,0.0,0.0,0.0
188,Torp,0.0,0,0.0,0.0,0.0
187,Eccles,0.0,0,0.0,0.0,0.0
186,Mason-Clark,0.0,0,0.0,0.0,0.0
185,Sakamoto,0.0,0,0.0,0.0,0.0
184,Grimes,0.0,0,0.0,0.0,0.0
587,Rulli,0.0,0,0.0,0.0,0.0
410,Monga,0.0,0,0.0,0.0,0.0
408,Phillips,0.0,0,0.0,0.0,0.0
176,Dasilva,0.0,0,0.0,0.0,0.0
175,van Ewijk,0.0,0,0.0,0.0,0.0
174,Kitching,0.0,0,0.0,0.0,0.0
173,Thomas,0.0,0,0.0,0.0,0.0
172,Wilson,0.0,0,0.0,0.0,0.0
171,Dovin,0.0,0,0.0,0.0,0.0
110,Rushworth,0.0,0,0.0,0.0,0.0
583,Chavarria,0.0,0,0.0,0.0,0.0
424,Amass,0.0,0,0.0,0.0,0.0
414,Heaton,0.0,0,0.0,0.0,0.0
575,Yirenkyi,0.0,0,0.0,0.0,0.0
197,Bassette,0.0,0,0.0,0.0,0.0
196,Markelo,0.0,0,0.0,0.0,0.0
443,Gillespie,0.0,0,0.0,0.0,0.0
441,Obi,0.0,0,0.0,0.0,0.0
436,Collyer,0.0,0,0.0,0.0,0.0
429,Rashford,0.0,0,0.0,0.0,0.0
183,Rudoni,0.0,0,0.0,0.0,0.0
182,Amenda,0.0,0,0.0,0.0,0.0
181,Brau,0.0,0,0.0,0.0,0.0
180,Woolfenden,0.0,0,0.0,0.0,0.0
179,Latibeaudiere,0.0,0,0.0,0.0,0.0
178,Bidwell,0.0,0,0.0,0.0,0.0
177,Kesler-Hayden,0.0,0,0.0,0.0,0.0
281,Drameh,0.0,0,0.0,0.0,0.0
280,Coyle,0.0,0,0.0,0.0,0.0
279,Ajayi,0.0,0,0.0,0.0,0.0
278,Hughes,0.0,0,0.0,0.0,0.0
277,Egan,0.0,0,0.0,0.0,0.0
276,Lo-Tutala,0.0,0,0.0,0.0,0.0
275,Cartwright,0.0,0,0.0,0.0,0.0
274,Butland,0.0,0,0.0,0.0,0.0
334,Muharemović,0.0,0,0.0,0.0,0.0
592,Ouattara,0.0,0,0.0,0.0,0.0
591,Enciso,0.0,0,0.0,0.0,0.0
571,Florentino,0.0,0,0.0,0.0,0.0
564,Scherpen,0.0,0,0.0,0.0,0.0
576,Stroud,0.0,0,0.0,0.0,0.0
574,Hjertø-Dahl,0.0,0,0.0,0.0,0.0
572,Tzolakis,0.0,0,0.0,0.0,0.0
461,Touré,0.0,0,0.0,0.0,0.0
444,Jaouen,0.0,0,0.0,0.0,0.0
578,Mudryk,0.0,0,0.0,0.0,0.0
568,Barco,0.0,0,0.0,0.0,0.0
561,Anselmino,0.0,0,0.0,0.0,0.0
560,Penders,0.0,0,0.0,0.0,0.0
170,Emegha,0.0,0,0.0,0.0,0.0
166,N.Jackson,0.0,0,0.0,0.0,0.0
164,Quenda,0.0,0,0.0,0.0,0.0
567,Horníček,0.0,0,0.0,0.0,0.0
559,Bamba,0.0,0,0.0,0.0,0.0
