gameweek,player_id,web_name,position,team_name,xp_predicted,now_cost_at_prediction,selected_by_percent_at_prediction,actual_points,points_per_game_at_prediction,ep_next_at_prediction,start_rate_at_prediction,xp_fresh_at_prediction,xp_horizon_at_prediction,xp_model_at_prediction,ep_x_start_rate_at_prediction,ep_x_availability_at_prediction
1,277,Egan,DEF,Hull City,0.35,4.0,1.9,8.0,,,,,,,,
1,334,Muharemović,DEF,Leeds,0.52,5.0,2.6,6.0,,,,,,,,
1,592,Ouattara,DEF,Ipswich Town,0.7,4.0,0.1,1.0,,,,,,,,
1,591,Enciso,MID,Ipswich Town,0.35,5.5,0.0,5.0,,,,,,,,
1,571,Florentino,MID,Ipswich Town,0.35,5.0,0.1,0.0,,,,,,,,
1,564,Scherpen,GKP,Ipswich Town,0.7,4.5,0.5,2.0,,,,,,,,
1,576,Stroud,MID,Hull City,0.17,5.0,0.1,3.0,,,,,,,,
1,574,Hjertø-Dahl,MID,Hull City,0.17,5.0,0.1,0.0,,,,,,,,
1,572,Tzolakis,GKP,Hull City,0.35,4.5,0.4,10.0,,,,,,,,
1,461,Touré,MID,Newcastle,0.17,6.0,0.3,0.0,,,,,,,,
1,444,Jaouen,GKP,Newcastle,0.35,4.5,0.0,0.0,,,,,,,,
1,578,Mudryk,MID,Chelsea,0.26,5.5,0.0,0.0,,,,,,,,
1,568,Barco,MID,Chelsea,0.26,5.5,0.1,0.0,,,,,,,,
1,561,Anselmino,DEF,Chelsea,0.52,4.5,0.0,0.0,,,,,,,,
1,560,Penders,GKP,Chelsea,0.52,4.5,0.1,0.0,,,,,,,,
1,166,N.Jackson,FWD,Chelsea,0.17,6.5,0.3,0.0,,,,,,,,
1,164,Quenda,MID,Chelsea,0.26,5.5,0.0,1.0,,,,,,,,
1,567,Horníček,GKP,Newcastle,0.35,5.0,0.6,1.0,,,,,,,,
1,559,Bamba,MID,Newcastle,0.17,5.0,0.1,1.0,,,,,,,,
1,462,Steur,MID,Newcastle,0.17,5.0,0.1,1.0,,,,,,,,
1,504,Vuskovic,DEF,Brighton,0.52,5.0,2.7,6.0,,,,,,,,
1,135,Yohanna,MID,Brighton,0.26,5.0,0.1,1.0,,,,,,,,
1,153,Disasi,DEF,Chelsea,0.52,4.5,0.1,0.0,,,,,,,,
1,152,Palestra,DEF,Chelsea,0.52,5.5,2.6,0.0,,,,,,,,
1,556,Targett,DEF,Hull City,0.35,4.0,2.8,1.0,,,,,,,,
1,296,Akintola,MID,Hull City,0.17,5.0,0.0,0.0,,,,,,,,
